,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
54,Beloha,0,MG,1562780803,90,-25.17,45.06,17.75,1.84
55,Benguela,16,AO,1562780804,79,-12.58,13.4,21.05,4.67
56,Leningradskiy,4,RU,1562780804,68,69.38,178.42,7.55,3.88
57,Kaitangata,20,NZ,1562780804,85,-46.28,169.85,4.44,0.89
58,San Cristobal,81,HN,1562780805,41,14.68,-86.92,29.45,3.71
59,Buchanan,75,LR,1562780805,83,5.88,-10.05,27.0,5.1
60,Walvis Bay,0,NA,1562780805,68,-22.95,14.51,22.0,4.1
61,Puruliya,100,IN,1562780806,78,23.33,86.37,27.55,4.54
62,Cape Town,0,ZA,1562780769,87,-33.93,18.42,13.33,1.5
63,Saint-Francois,0,FR,1562780808,26,46.42,3.91,28.0,4.6
64,Ewa Beach,20,US,1562780808,74,21.32,-158.01,27.0,2.1
65,Saint-Philippe,1,CA,1562780808,40,45.36,-73.48,31.11,1.5
66,Mbandaka,75,CD,1562780809,90,0.05,18.26,23.25,1.33
67,Tuatapere,95,NZ,1562780809,87,-46.13,167.69,11.25,6.69
68,Muswellbrook,0,AU,1562780809,77,-32.27,150.89,11.11,2.24
69,Avarua,93,CK,1562780810,93,-21.21,-159.78,19.0,1.0
70,San Rafael,21,AR,1562780810,40,-34.61,-68.33,13.45,1.13
71,Obo,100,CF,1562780811,87,5.39,26.49,22.65,1.7
72,Lompoc,20,US,1562780811,72,34.64,-120.46,23.33,1.5
73,Mariakani,20,KE,1562780811,83,-3.87,39.47,26.0,3.6
74,General Pico,65,AR,1562780812,45,-35.66,-63.75,16.15,0.69
75,Chumikan,74,RU,1562780812,98,54.72,135.31,7.05,0.39
76,Lakhdenpokhya,100,RU,1562780813,63,61.52,30.2,13.33,2.68
77,Bathsheba,75,BB,1562780813,66,13.22,-59.52,31.0,7.7
78,Porosozero,100,RU,1562780814,63,62.72,32.71,8.15,4.38
79,Jamestown,16,AU,1562780814,90,-33.21,138.6,8.75,8.36
80,Severo-Kurilsk,71,RU,1562780819,95,50.68,156.12,6.05,7.36
81,Padang,47,ID,1562780819,75,-0.92,100.36,28.35,1.88
82,Westport,40,US,1562780820,45,41.14,-73.36,31.67,2.1
83,Tomari,88,RU,1562780820,89,47.76,142.06,11.25,2.18
84,Tiksi,80,RU,1562780821,74,71.64,128.87,14.65,5.3
85,Tuktoyaktuk,75,CA,1562780821,76,69.44,-133.03,14.0,6.2
86,Kapaa,1,US,1562780821,78,22.08,-159.32,27.0,4.1
87,Bubaque,78,GW,1562780822,81,11.28,-15.83,27.15,6.74
88,Port Hardy,75,CA,1562780822,93,50.7,-127.42,17.0,2.1
89,Arraial do Cabo,0,BR,1562780822,60,-22.97,-42.02,23.0,7.2
90,Kokstad,0,ZA,1562780823,26,-30.55,29.42,11.05,1.41
91,Tasiilaq,75,GL,1562780800,70,65.61,-37.64,9.0,3.6
92,Houston,40,US,1562780303,66,29.76,-95.37,35.0,1.03
93,Saint-Pierre,0,FR,1562780824,33,48.95,4.24,26.11,2.1
94,Flinders,4,AU,1562780824,50,-34.58,150.85,15.0,7.7
95,Touros,75,BR,1562780825,88,-5.2,-35.46,25.0,6.2
96,Bredasdorp,0,ZA,1562780825,87,-34.53,20.04,13.0,1.5
97,Dikson,100,RU,1562780825,97,73.51,80.55,-0.35,4.1
98,San Andres,55,PH,1562780826,91,13.32,122.68,25.55,1.76
99,Auki,95,NG,1562780826,49,12.18,6.51,30.05,2.14
100,Longyearbyen,75,NO,1562780826,81,78.22,15.63,9.0,2.6
101,Hithadhoo,86,MV,1562780827,72,-0.6,73.08,29.25,3.88
102,Codrington,0,AU,1562780827,93,-28.95,153.24,11.67,3.6
103,Romilly-sur-Seine,0,FR,1562780827,32,48.52,3.72,27.0,2.1
104,Thompson,20,CA,1562780828,42,55.74,-97.86,19.0,3.1
105,Mataura,80,NZ,1562780828,96,-46.19,168.86,8.45,2.67
106,Beyneu,100,KZ,1562780829,57,45.32,55.19,25.25,1.09
107,Pisco,90,PE,1562780829,30,-13.71,-76.2,22.0,4.1
108,Barrow,27,AR,1562780829,51,-38.31,-60.23,15.55,1.91
109,Norman Wells,75,CA,1562780829,59,65.28,-126.83,17.0,3.6
110,Pevek,31,RU,1562780830,68,69.7,170.27,8.55,3.12
111,Mayumba,18,GA,1562780830,88,-3.44,10.65,23.05,4.89
112,Sosva,77,RU,1562780831,95,59.17,61.86,16.15,3.79
113,Lebu,40,ET,1562780831,121,8.96,38.73,11.0,1.26
114,Koumac,2,NC,1562780831,63,-20.56,164.28,20.65,2.16
115,Castro,40,CL,1562780827,76,-42.48,-73.76,11.0,7.7
116,Gao,4,ML,1562780832,23,16.28,-0.04,37.05,4.38
117,Nacala,18,MZ,1562780832,76,-14.56,40.69,19.95,4.0
118,Puerto Escondido,90,MX,1562780832,88,15.86,-97.07,27.0,3.58
119,Ribeira Grande,20,PT,1562780833,73,38.52,-28.7,25.0,5.7
120,Kodiak,1,US,1562780833,18,39.95,-94.76,27.78,4.6
121,Villamontes,0,BO,1562780834,53,-21.26,-63.47,25.0,2.65
122,Alice Springs,0,AU,1562780834,39,-23.7,133.88,8.0,2.6
123,Payson,1,US,1562780706,32,40.04,-111.73,32.22,2.6
124,Yellowknife,75,CA,1562780835,67,62.45,-114.38,14.0,2.6
125,Lata,66,IN,1562780835,93,30.78,78.62,8.75,1.26
126,Peniche,0,PT,1562780725,51,39.36,-9.38,32.22,6.7
127,Isangel,0,VU,1562780836,77,-19.55,169.27,22.65,6.63
128,Aklavik,90,CA,1562780836,82,68.22,-135.01,14.0,5.1
129,Paita,0,PE,1562780608,290,-5.09,-81.11,17.0,5.7
130,Pangnirtung,20,CA,1562780837,76,66.15,-65.72,13.0,2.6
131,Eston,75,CA,1562780838,60,51.15,-108.75,23.89,13.4
132,Bolshoy Kamen,75,RU,1562780838,93,43.12,132.36,14.0,1.0
133,Vikindu,20,TZ,1562780838,78,-6.98,39.3,25.0,5.1
134,Alta Floresta,40,BR,1562780839,32,-9.87,-56.08,35.0,4.1
135,Ulladulla,0,AU,1562780839,50,-35.36,150.48,15.0,7.7
136,Hukuntsi,0,BW,1562780840,24,-23.98,21.76,16.25,3.08
137,Richards Bay,0,ZA,1562780840,58,-28.77,32.06,23.55,4.05
138,Fare,31,PF,1562780840,71,-16.7,-151.02,25.15,2.82
139,Zhangye,100,CN,1562780840,41,38.94,100.46,19.95,1.36
140,Yichang,63,CN,1562780841,93,30.77,111.32,17.55,0.87
141,Wakema,100,MM,1562780841,83,16.6,95.18,27.05,3.09
142,Khatanga,15,RU,1562780841,68,71.98,102.47,10.35,2.55
143,Chokurdakh,51,RU,1562780842,72,70.62,147.9,18.65,1.86
144,Victoria,75,BN,1562780702,78,5.28,115.24,27.0,1.0
145,Okha,100,RU,1562780842,88,53.59,142.95,11.25,6.25
146,Irondequoit,40,US,1562780670,51,43.21,-77.58,33.33,2.15
147,Kahului,20,US,1562780843,73,20.89,-156.47,26.0,1.5
148,Cidreira,100,BR,1562780843,61,-30.17,-50.22,18.65,2.19
149,Kenai,90,US,1562780844,93,60.55,-151.26,13.89,5.7
150,Upernavik,19,GL,1562780844,85,72.79,-56.15,5.65,5.83
151,Chany,2,RU,1562780844,89,55.31,76.76,14.75,1.18
152,Esmeraldas,0,BR,1562780845,40,-19.76,-44.31,22.78,2.6
153,Vila Franca do Campo,20,PT,1562780845,61,37.72,-25.43,25.0,3.1
154,Portland,75,US,1562780621,61,43.66,-70.25,31.67,4.1
155,Unity,96,CA,1562780846,78,52.44,-109.15,20.0,4.47
156,Koroni,0,GR,1562780846,27,36.8,21.96,32.0,2.6
157,Batemans Bay,0,AU,1562780846,77,-35.71,150.18,9.44,0.45
158,Mildura,75,AU,1562780847,76,-34.18,142.16,10.0,3.6
159,Murovani Kurylivtsi,33,UA,1562780847,65,48.71,27.54,16.67,4.92
160,Karema,27,TZ,1562780847,65,-6.82,30.44,24.75,1.72
161,Brokopondo,40,SR,1562780848,55,5.06,-54.98,32.0,1.5
162,Laguna,40,BZ,1562780848,79,16.17,-88.94,31.0,2.1
163,Yatou,75,CM,1562780848,88,3.63,9.81,26.0,1.0
164,Bella Vista,0,AR,1562780849,43,-27.03,-65.31,23.0,2.1
165,Aykhal,75,RU,1562780849,55,65.95,111.51,17.0,1.0
166,Bambous Virieux,40,MU,1562780849,83,-20.34,57.76,22.0,2.09
167,Llanes,1,ES,1562780850,86,43.42,-4.75,22.22,2.48
168,Kihei,20,US,1562780850,73,20.76,-156.45,26.0,1.5
169,Nanortalik,35,GL,1562780851,84,60.14,-45.24,5.75,1.72
170,Sitka,0,US,1562780851,64,37.17,-99.65,30.0,0.89
171,San Severo,75,IT,1562780852,100,41.69,15.38,22.22,4.6
172,Inongo,95,CD,1562780852,58,-1.93,18.29,27.05,1.98
173,Margate,75,AU,1562780853,81,-43.03,147.26,10.0,3.6
174,Husavik,53,CA,1562780853,40,50.56,-96.99,24.44,2.24
175,Gizo,0,IL,1562780854,74,31.8,34.94,28.89,3.1
176,Naryan-Mar,100,RU,1562780854,89,67.67,53.09,5.15,7.6
177,Mareeba,90,AU,1562780854,88,-16.99,145.42,21.0,0.5
178,Aswan,0,EG,1562780855,11,24.09,32.9,38.0,2.1
179,Praia da Vitoria,40,PT,1562780855,83,38.73,-27.07,24.0,3.83
180,Saint-Leu,20,RE,1562780855,73,-21.15,55.28,21.0,2.6
181,Jieshi,100,CN,1562780856,92,22.82,115.83,27.22,1.02
182,Khor,69,RU,1562780856,93,47.88,134.96,19.05,1.38
183,Saskylakh,51,RU,1562780857,69,71.97,114.09,11.85,1.12
184,Gros Islet,75,LC,1562780733,70,14.07,-60.95,31.67,5.7
185,Gunjur,75,GM,1562780857,70,13.18,-16.76,31.0,4.1
186,Kampene,35,CD,1562780857,53,-3.59,26.67,23.55,0.46
187,Havelock,14,US,1562780858,55,34.88,-76.9,31.11,5.1
188,Marrakesh,20,MA,1562780831,27,31.63,-7.99,33.0,1.0
189,Kilemary,88,RU,1562780858,96,56.78,46.86,12.55,2.92
190,Oriximina,46,BR,1562780859,58,-1.77,-55.87,31.15,2.39
191,Souillac,0,FR,1562780859,27,45.6,-0.6,31.11,3.1
192,Kuminskiy,96,RU,1562780860,80,58.67,66.57,19.15,5.52
193,Caravelas,87,BR,1562780861,63,-17.73,-39.27,22.75,4.66
194,Faya,40,SA,1562780861,50,18.39,42.45,26.0,3.1
195,Alofi,58,NU,1562780845,100,-19.06,-169.92,22.0,1.0
196,New Norfolk,75,AU,1562780779,81,-42.78,147.06,10.0,3.6
197,Imeni Babushkina,100,RU,1562780862,95,59.76,43.13,9.35,3.81
198,Baker City,20,US,1562780862,53,44.77,-117.83,22.78,2.1
199,Geraldton,90,CA,1562780863,93,49.72,-86.95,17.0,1.26
200,Bulaevo,62,KZ,1562780863,75,54.91,70.44,16.65,3.78
201,Ostrovnoy,100,RU,1562780863,89,68.05,39.51,3.55,7.78
202,Tamandare,0,BR,1562780864,38,-8.28,-70.75,33.85,0.57
203,Wattegama,100,LK,1562780864,88,7.35,80.68,23.25,1.69
204,Hamilton,40,CA,1562780644,61,43.26,-79.87,31.67,2.6
205,Naantali,79,FI,1562780865,100,60.45,22.03,20.56,3.96
206,Gazojak,39,TM,1562780865,10,41.19,61.4,33.25,4.64
207,Oktyabrskiy,40,RU,1562780865,82,55.61,37.97,15.0,3.0
208,Panguipulli,75,CL,1562780866,71,-39.64,-72.33,14.0,3.6
209,Narsaq,20,GL,1562780866,41,60.91,-46.05,16.0,4.6
210,Awbari,0,LY,1562780866,7,26.59,12.77,35.85,4.19
211,Atambua,0,ID,1562780867,74,-9.11,124.89,24.55,6.18
212,Half Moon Bay,90,US,1562780867,82,37.46,-122.43,22.22,3.6
213,Araouane,11,ML,1562780867,19,18.9,-3.53,38.75,3.48
214,Nampula,75,MZ,1562780868,69,-15.12,39.26,23.0,2.6
215,Harer,1,US,1562780868,33,42.19,-111.17,25.56,2.6
216,Cap Malheureux,40,MU,1562780869,83,-19.98,57.61,22.0,4.49
217,Lagoa,0,PT,1562780855,64,37.14,-8.45,27.78,5.1
218,Mount Gambier,75,AU,1562780869,81,-37.83,140.78,9.0,9.3
219,Krasnoufimsk,19,RU,1562780869,95,56.6,57.77,15.35,3.82
220,Mangulile,99,HN,1562780870,40,15.04,-86.82,27.85,1.97
221,Port Moresby,84,PG,1562780871,78,-9.47,147.16,24.45,10.47
222,Vanderhoof,100,CA,1562780782,63,54.02,-124.02,16.05,1.94
223,Ongandjera,95,NA,1562780871,15,-17.88,15.07,17.15,2.33
224,Xichang,100,CN,1562780872,99,27.88,102.25,13.85,0.9
225,Port Blair,100,IN,1562780872,79,11.67,92.75,28.65,7.38
226,Los Llanos de Aridane,40,ES,1562780807,64,28.66,-17.92,24.0,4.1
227,Hay River,75,CA,1562780872,55,60.82,-115.79,18.0,3.1
228,Cogealac,20,RO,1562780873,88,44.56,28.56,22.22,2.6
229,Adrar,4,DZ,1562780873,6,27.87,-0.29,46.0,5.7
230,Fairbanks,90,US,1562780836,67,64.84,-147.72,17.0,1.5
231,Finschhafen,86,PG,1562780874,90,-6.6,147.85,16.35,1.06
232,Arlit,1,NE,1562780874,12,18.74,7.39,40.65,1.9
233,La Ligua,90,CL,1562780874,93,-32.45,-71.23,9.0,2.69
234,Naduvattam,89,IN,1562780875,95,11.47,76.57,17.65,2.59
235,Sorland,90,NO,1562780875,93,67.67,12.69,11.0,7.2
236,Hervey Bay,75,AU,1562780790,87,-25.3,152.85,16.67,2.6
237,Pitimbu,75,BR,1562780876,69,-7.47,-34.81,28.0,6.7
238,Luwuk,100,ID,1562780876,98,-0.95,122.79,16.55,1.75
239,Kuytun,19,RU,1562780876,86,54.34,101.51,17.25,0.84
240,Salinas,40,US,1562780877,77,36.67,-121.66,25.0,1.96
241,Gravdal,20,NO,1562780877,63,59.79,5.78,17.0,4.6
242,Maumere,26,ID,1562780877,78,-8.63,122.22,21.95,2.66
243,Rundu,48,NA,1562780878,19,-17.91,19.77,21.0,1.0
244,Dukhovnitskoye,38,RU,1562780878,80,52.48,48.21,14.85,4.0
245,Sarospatak,0,HU,1562780753,48,48.32,21.58,20.0,1.5
246,Vostok,0,RU,1562780879,93,46.45,135.83,16.25,1.46
247,Kavieng,100,PG,1562780879,68,-2.57,150.8,28.15,1.28
248,Naze,100,NG,1562780880,93,5.43,7.07,21.85,1.33
249,Deputatskiy,44,RU,1562780880,73,69.3,139.9,17.15,0.55
250,Paamiut,98,GL,1562780880,92,61.99,-49.67,6.25,1.95
251,Klaksvik,93,FO,1562780881,93,62.23,-6.59,11.0,7.2
252,Wisconsin Rapids,1,US,1562780881,42,44.39,-89.82,31.0,6.2
253,Rio Grande,0,BR,1562780881,63,-32.03,-52.1,18.0,0.63
254,Chuy,100,UY,1562780882,76,-33.69,-53.46,13.75,0.94
255,Lipin Bor,99,RU,1562780882,64,60.26,37.97,10.55,4.48
256,Sao Filipe,0,CV,1562780882,84,14.9,-24.5,23.05,8.63
257,Meulaboh,100,ID,1562780883,77,4.14,96.13,28.25,2.63
258,Aksarka,93,RU,1562780883,49,66.56,67.8,16.35,7.33
259,Fortuna,75,US,1562780883,82,40.6,-124.16,22.22,5.59
260,Bandarbeyla,19,SO,1562780884,67,9.49,50.81,26.45,13.5
261,Kamina,0,CD,1562780884,36,-8.74,25.0,21.05,1.07
262,Comodoro Rivadavia,75,AR,1562780884,100,-45.87,-67.48,7.0,1.5
263,Dubbo,0,AU,1562780885,93,-32.25,148.6,7.0,3.6
264,Moussoro,0,TD,1562780885,40,13.64,16.49,32.65,7.14
265,Marawi,83,PH,1562780886,93,8.0,124.29,23.33,0.89
266,Ahipara,0,NZ,1562780824,82,-35.17,173.16,15.05,2.22
267,Along,100,IN,1562780886,99,28.17,94.8,14.45,0.57
268,Port Jervis,75,US,1562780887,48,41.38,-74.69,32.22,2.1
269,Torbay,90,CA,1562780887,100,47.66,-52.73,15.0,3.6
270,Bintulu,75,MY,1562780888,94,3.17,113.03,26.0,2.1
271,Vestmanna,94,FO,1562780888,93,62.16,-7.17,11.0,7.2
272,Zlobin,0,HR,1562780888,33,45.29,14.65,24.0,2.6
273,Chadiza,0,ZM,1562780889,49,-14.06,32.43,17.25,5.55
274,Tezu,100,IN,1562780889,98,27.93,96.16,21.45,1.42
275,San Jeronimo,0,PE,1562780890,32,-13.65,-73.37,13.0,3.89
276,Thio,20,NC,1562780890,87,-21.61,166.22,12.0,1.5
277,Kawalu,84,ID,1562780890,94,-7.38,108.21,18.95,1.54
278,Lavrentiya,0,RU,1562780891,45,65.58,-170.99,17.85,2.42
279,Cabo San Lucas,5,MX,1562780836,38,22.89,-109.91,35.56,4.6
280,Makakilo City,1,US,1562780891,94,21.35,-158.09,27.0,2.1
281,Luan,20,CH,1562780892,39,46.36,6.98,26.0,7.7
282,Manaure,40,CO,1562780892,47,11.78,-72.45,35.0,5.1
283,Yar-Sale,54,RU,1562780892,56,66.83,70.83,11.85,6.33
284,Fort Beaufort,0,ZA,1562780893,93,-32.78,26.63,10.55,2.07
285,Guilin,0,CN,1562780893,94,25.28,110.29,22.0,1.0
286,Broken Hill,14,AU,1562780893,62,-31.97,141.45,13.0,10.3
287,Saint George,40,GR,1562780894,58,39.45,22.34,29.0,6.2
288,Nouakchott,58,MR,1562780894,58,18.08,-15.98,28.0,8.7
289,Nikolskoye,40,RU,1562780894,54,59.7,30.79,15.0,5.0
290,Jardim,0,BR,1562780894,37,-21.48,-56.15,27.15,2.42
291,Sept-Iles,40,CA,1562780658,35,50.2,-66.38,22.78,4.1
292,Hargeysa,7,SO,1562780752,55,9.56,44.06,23.95,10.22
293,Gorey,77,SO,1562780895,69,3.22,43.63,25.05,7.86
294,Cayenne,18,GF,1562780813,88,4.94,-52.33,26.0,2.6
295,Batagay,13,RU,1562780896,66,67.65,134.64,18.95,1.24
296,Mahebourg,40,MU,1562780896,83,-20.41,57.7,22.0,2.09
297,Beaverlodge,90,CA,1562780897,87,55.21,-119.43,13.0,1.0
298,Amaraji,40,BR,1562780897,65,-8.37,-35.45,28.0,5.7
299,Niimi,75,JP,1562780898,88,34.97,133.47,22.22,3.6
300,Esperance,90,AU,1562780898,87,-33.86,121.89,11.0,4.6
301,Sar-e Pul,0,AF,1562780899,8,36.22,65.93,31.85,4.9
302,Belaya Gora,25,RU,1562780899,61,68.54,146.19,19.85,1.11
303,Mount Pleasant,40,US,1562780753,62,33.16,-94.97,35.56,1.46
304,Marsaxlokk,0,MT,1562780900,52,35.84,14.54,31.0,5.7
305,Ponta do Sol,0,BR,1562780900,36,-20.63,-46.0,21.65,1.71
306,Svetlogorsk,40,RU,1562780900,64,53.14,59.15,21.0,1.0
307,Doba,90,ET,1562780901,51,9.29,41.09,26.05,3.8
308,Mbanza-Ngungu,78,CD,1562780901,69,-5.25,14.87,22.55,3.57
309,Cockburn Town,100,TC,1562780902,83,21.46,-71.14,28.25,8.58
310,Wanning,20,AT,1562780902,37,48.64,13.53,21.67,6.2
311,Conakry,64,GN,1562780902,80,9.52,-13.7,26.65,5.88
312,Byron Bay,0,AU,1562780903,87,-28.65,153.62,9.44,1.43
313,Mana,87,NG,1562780904,35,13.03,5.27,34.05,1.56
314,Luderitz,0,NA,1562780904,54,-26.65,15.16,25.0,0.5
315,Gat,0,SN,1562780904,69,14.69,-16.54,27.0,6.2
316,Lakes Entrance,88,AU,1562780905,84,-37.88,147.99,8.89,0.89
317,Qinhuangdao,99,CN,1562780905,79,39.94,119.59,18.65,0.66
318,Tiebissou,90,CI,1562780905,83,7.16,-5.23,26.0,2.1
319,Ugoofaaru,100,MV,1562780906,68,5.67,73.0,29.05,2.61
320,Templemore,80,IE,1562780906,91,52.79,-7.83,17.78,1.34
321,Belogorsk,95,RU,1562780906,92,50.92,128.47,18.85,0.69
322,Vagur,100,FO,1562780907,97,61.47,-6.81,10.75,6.2
323,Saquarema,0,BR,1562780907,60,-22.93,-42.51,25.0,7.2
324,Tongchuan,0,CN,1562780907,77,34.9,108.95,21.0,2.0
325,Doctor Arroyo,7,MX,1562780908,38,23.67,-100.18,26.55,0.52
326,Campbell River,90,CA,1562780908,93,50.02,-125.24,17.22,7.7
327,Mahibadhoo,100,MV,1562780909,70,3.78,72.97,29.25,3.24
328,Nantucket,1,US,1562780745,40,41.28,-70.1,31.11,4.1
329,Puerto del Rosario,75,ES,1562780910,47,28.5,-13.86,27.0,8.7
330,Susangerd,0,IR,1562780910,18,31.56,48.19,38.0,1.0
331,Picsi,40,PE,1562780910,29,-6.72,-79.77,19.0,5.7
332,Yarada,75,IN,1562780911,83,17.65,83.27,29.0,5.1
333,Tura,100,RU,1562780875,95,64.27,100.22,14.65,1.47
334,Pontes e Lacerda,0,BR,1562780911,20,-15.23,-59.33,33.55,2.63
335,Rawson,1,AR,1562780912,41,-43.3,-65.11,15.95,7.69
336,Ixtapa,40,MX,1562780912,70,20.71,-105.21,31.67,2.79
337,Pitiquito,0,MX,1562780913,14,30.68,-112.05,35.56,0.89
338,Samana,40,EC,1562780913,65,0.12,-76.97,30.0,0.5
339,Avera,75,US,1562780914,66,33.19,-82.53,33.0,3.6
340,Aguimes,20,ES,1562780896,57,27.91,-15.45,25.0,11.3
341,Batagay-Alyta,65,RU,1562780914,75,67.8,130.41,13.55,1.57
342,Carnarvon,0,ZA,1562780915,24,-30.97,22.13,15.05,4.77
343,Kota Kinabalu,75,MY,1562780915,83,5.98,116.07,26.0,2.1
344,Sao Jose da Coroa Grande,57,BR,1562780916,88,-8.9,-35.15,24.15,2.26
345,Marsh Harbour,52,BS,1562780916,76,26.54,-77.06,28.65,5.97
346,Dingle,63,PH,1562780916,85,11.0,122.67,23.45,0.88
347,The Pas,1,CA,1562780917,42,53.82,-101.24,18.0,2.6
348,Omsukchan,0,RU,1562780917,66,62.53,155.8,12.95,0.9
349,Andros,1,GR,1562780917,45,37.83,24.93,29.44,2.1
350,Gawler,75,AU,1562780866,66,-34.6,138.75,13.0,8.2
351,Alyangula,100,AU,1562780918,93,-13.85,136.42,15.0,1.5
352,Pleasanton,90,US,1562780782,77,37.66,-121.87,23.0,2.6
353,Lozuvatka,55,UA,1562780918,88,49.68,35.29,14.05,3.3
354,Kununurra,0,AU,1562780919,67,-15.77,128.74,15.0,5.27
355,Rocha,100,UY,1562780919,78,-34.48,-54.34,13.35,1.9
356,Pacific Grove,75,US,1562780684,68,36.62,-121.92,23.33,2.6
357,Namatanai,100,PG,1562780920,82,-3.66,152.44,25.65,6.63
358,Marsa Matruh,40,EG,1562780873,83,31.35,27.25,28.0,5.1
359,Port Said,0,EG,1562780920,12,25.34,30.55,33.65,4.4
360,Hatillo,40,PR,1562780921,70,18.49,-66.83,32.22,6.7
361,Pedernales,50,EC,1562780921,82,0.07,-80.05,24.25,4.04
362,Georgetown,75,GY,1562780748,83,6.8,-58.16,28.0,5.1
363,Kloulklubed,75,PW,1562780922,94,7.04,134.26,24.0,1.5
364,Chipinge,0,ZW,1562780922,51,-20.19,32.62,16.25,2.82
365,Vila Velha,20,BR,1562780694,52,-3.71,-38.6,31.0,5.1
366,Kastamonu,75,TR,1562780923,88,41.38,33.78,17.22,3.1
367,Talisay,20,PH,1562780923,78,10.25,123.85,27.0,0.5
368,Waddan,0,LY,1562780924,13,29.16,16.14,35.95,3.43
369,Yakymivka,58,UA,1562780924,48,46.7,35.16,19.45,2.09
370,Ravar,10,IR,1562780924,12,31.27,56.81,28.45,1.01
371,Altamira,75,BR,1562780777,59,-3.2,-52.21,33.0,3.6
372,Warud,100,IN,1562780925,81,21.47,78.27,25.95,2.37
373,Zabol,0,IR,1562780925,14,31.03,61.49,37.0,10.8
